Number	1		2		3		4		5	
	Time	Label	Time	Label	Time	Label	Time	Label	Time	Label
	8/16	N/A	8/16	N/A	8/16	N/A	8/16	N/A	8/16	N/A
	8/17	N/A	8/17	N/A	8/17	N/A	8/17	N/A	8/17	N/A
	8/18	N/A	8/18	N/A	8/18	N/A	8/18	N/A	8/18	N/A
	8/19	N/A	8/19	N/A	8/19	N/A	8/19	N/A	8/19	N/A
	8/20	N/A	8/20	In-Market:Electronics	8/20	In-Market:Electronics	8/20	N/A	8/20	N/A
	8/21	In-Market:Electronics	8/21	In-Market:Electronics	8/21	In-Market:Electronics	8/21	N/A	8/21	N/A
	8/22	In-Market:Electronics	8/22	In-Market:Electronics	8/22	In-Market:Electronics	8/22	N/A	8/22	In-Market:Electronics
	8/23	In-Market:Electronics	8/23	In-Market:Electronics	8/23	In-Market:Electronics	8/23	N/A	8/23	In-Market:Electronics
	8/24	In-Market:Electronics	8/24	In-Market:Electronics	8/24	In-Market:Electronics	8/24	In-Market:Electronics	8/24	In-Market:Electronics
	8/25	In-Market:Electronics	8/25	In-Market:Electronics	8/25	In-Market:Electronics	8/25	In-Market:Electronics	8/25	In-Market:Electronics
